"%s","%s"
"Save Item", "Salvar"
"Save And Continue Edit", "Salvar e Continuar Editando"
"Sub-Title", "Sub-Título"
"Item Information", "Informações"
"Add Item", "Adicionar"
"Enabled", "Ativo"
"Disabled", "Inativo"
"Item was successfully saved", "Informações de frete salvas com sucesso"
"Edit Item", "Editar"
"Delete Item", "Excluir"
"Initial ZIP Code", "CEP Inicial"
"Final ZIP Code", "CEP Final"
"Initial Weight", "Peso Inicial"
"Final Weight", "Peso Final"
"Price", "Valor"
"Additional Price", "Valor Adicional"
"Tablerate", "Tabela de Frete"
"Fields", "Campos"
"Action", "Ação"